demo,map,linetype,player,team,time (s),hp,death,action,target,target_team,targeted,value,uid,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20
kb7204,skyway,log,Razor Ice,BLU,21.991,1599.0,,bfr,Wrecktum,RED,0,13784,56
kb7204,skyway,log,Pot,RED,22.373,,,corrosive enzyme,Deadly Deadly Deadly,BLU,0,14038,57
kb7204,skyway,log,Kencian X,RED,22.373,,,mystic/flight,,BLU,0,14055,58
kb7204,skyway,log,Novatix,RED,22.513,1606.0,,heal other,Wrecktum,RED,0,14182,59
kb7204,skyway,log,SoIstice,RED,22.513,,,blaze,Deadly Deadly Deadly,BLU,0,14194,60
kb7204,skyway,log,Deadly Deadly Deadly,BLU,22.646,,,,,,1,14268,61
kb7204,skyway,log,John BIaze,RED,22.646,,,corrosive enzyme,Deadly Deadly Deadly,BLU,0,14268,62
kb7204,skyway,log,Cruel Existence,RED,22.646,1834.0,,blaze,Deadly Deadly Deadly,BLU,0,14290,63
kb7204,skyway,log,BigMacSuperDeal,RED,23.618,,,enervating field,Deadly Deadly Deadly,BLU,0,14943,64
kb7204,skyway,log,John BIaze,RED,23.927,,,blaze,Deadly Deadly Deadly,BLU,0,15166,65
kb7204,skyway,log,Pot,RED,23.927,,,blaze,Deadly Deadly Deadly,BLU,0,15172,66
kb7204,skyway,log,BigMacSuperDeal,RED,24.151,,,dehydrate,Deadly Deadly Deadly,BLU,0,15349,67
kb7204,skyway,log,SoIstice,RED,24.169,,,dominate,Deadly Deadly Deadly,BLU,0,15377,68
kb7204,skyway,log,JC Pose,BLU,24.444,1418.0,,raptor pack,,,0,15563,69
kb7204,skyway,log,Ravenfrost,BLU,24.444,,,share pain,Deadly Deadly Deadly,BLU,0,15582,70
kb7204,skyway,log,Python Blue,BLU,24.587,,,heal other,Deadly Deadly Deadly,BLU,0,15697,71
kb7204,skyway,log,Cruel Existence,RED,24.627,,,ssj,Deadly Deadly Deadly,BLU,0,15734,72
kb7204,skyway,log,John BIaze,RED,25.14,,,blazing bolt,Deadly Deadly Deadly,BLU,0,16082,73
kb7204,skyway,log,Wrecktum,RED,25.282,1417.0,,blaze,Deadly Deadly Deadly,BLU,0,16212,74
kb7204,skyway,log,Deadly Deadly Deadly,BLU,25.555,1839.0,,green,,RED,0,16362,75
kb7204,skyway,log,Pot,RED,25.689,,,dominate,Deadly Deadly Deadly,BLU,0,16429,76
kb7204,skyway,log,Deadly Deadly Deadly,BLU,25.864,1277.0,,green,,,0,16557,77
kb7204,skyway,log,Deadly Deadly Deadly,BLU,26.107,1551.0,,green,,,0,16738,78
kb7204,skyway,log,Deadly Deadly Deadly,BLU,26.249,331.0,,green,,,0,16843,79
kb7204,skyway,log,Los Bandidos,BLU,26.107,1839.0,,strangler,Kencian X,RED,0,16723,78
kb7204,skyway,log,Novatix,RED,26.497,,,clear mind,BigMacSuperDeal,RED,0,17027,80
kb7204,skyway,log,Wrecktum,RED,26.522,1497.0,,dominate,Deadly Deadly Deadly,BLU,0,17037,81
kb7204,skyway,log,Deadly Deadly Deadly,BLU,26.727,0.0,1,,,,0,17215,82
kb7204,skyway,log,Kencian X,RED,27.786,,,mystic/flight,,,0,17901,83
kb7204,skyway,log,JC Pose,BLU,27.919,1578.0,,bib,!pos,,0,17977,84
kb7204,skyway,log,Los Bandidos,BLU,28.301,,,blaze,Cruel Existence,RED,0,18281,85
kb7204,skyway,log,Pot,RED,28.435,,,jaunt,!pos,,0,18367,86
kb7204,skyway,log,Novatix,RED,28.435,,,raptor pack,,,0,18386,87
kb7204,skyway,log,JC Pose,BLU,29.122,1606.0,,dominate,Cruel Existence,RED,0,18835,88
kb7204,skyway,log,Cruel Existence,RED,29.122,,,,,,1,18835,89
kb7204,skyway,log,Pot,RED,29.705,,,raptor pack,,,0,19209,90
kb7204,skyway,log,BigMacSuperDeal,RED,29.705,,,raptor pack,,RED,0,19218,91
kb7204,skyway,log,Cruel Existence,RED,29.705,,,phase shift,,,0,19223,92
kb7204,skyway,log,Novatix,RED,29.763,,,clear mind,Pot,RED,0,19297,93
kb7204,skyway,log,Kencian X,RED,29.813,,,heal other,Cruel Existence,RED,0,19335,94
kb7204,skyway,greens_log,Relinquished,BLU,30,,,,,,,,95,20
kb7204,skyway,hp_log,Relinquished,BLU,30,,,,,,,,95,0
kb7204,skyway,greens_log,Los Bandidos,BLU,30,,,,,,,,95,20
kb7204,skyway,hp_log,Los Bandidos,BLU,30,,,,,,,,95,8.0
kb7204,skyway,greens_log,Razor Ice,BLU,30,,,,,,,,95,20
kb7204,skyway,hp_log,Razor Ice,BLU,30,,,,,,,,95,165.0
kb7204,skyway,greens_log,JC Pose,BLU,30,,,,,,,,95,19
kb7204,skyway,hp_log,JC Pose,BLU,30,,,,,,,,95,1146.0
kb7204,skyway,greens_log,Vanishing Point,BLU,30,,,,,,,,95,20
kb7204,skyway,hp_log,Vanishing Point,BLU,30,,,,,,,,95,0
kb7204,skyway,greens_log,Deadly Deadly Deadly,BLU,30,,,,,,,,95,16
kb7204,skyway,hp_log,Deadly Deadly Deadly,BLU,30,,,,,,,,95,3587.0
kb7204,skyway,greens_log,Python Blue,BLU,30,,,,,,,,95,20
kb7204,skyway,hp_log,Python Blue,BLU,30,,,,,,,,95,90.0
kb7204,skyway,greens_log,Ravenfrost,BLU,30,,,,,,,,95,20
kb7204,skyway,hp_log,Ravenfrost,BLU,30,,,,,,,,95,72.0
kb7204,skyway,greens_log,Pot,RED,30,,,,,,,,95,20
kb7204,skyway,hp_log,Pot,RED,30,,,,,,,,95,0
kb7204,skyway,greens_log,Cruel Existence,RED,30,,,,,,,,95,20
kb7204,skyway,hp_log,Cruel Existence,RED,30,,,,,,,,95,662.0
kb7204,skyway,greens_log,Kencian X,RED,30,,,,,,,,95,20
kb7204,skyway,hp_log,Kencian X,RED,30,,,,,,,,95,0
kb7204,skyway,greens_log,Novatix,RED,30,,,,,,,,95,20
kb7204,skyway,hp_log,Novatix,RED,30,,,,,,,,95,15.0
kb7204,skyway,greens_log,SoIstice,RED,30,,,,,,,,95,20
kb7204,skyway,hp_log,SoIstice,RED,30,,,,,,,,95,0
kb7204,skyway,greens_log,John BIaze,RED,30,,,,,,,,95,20
kb7204,skyway,hp_log,John BIaze,RED,30,,,,,,,,95,0
kb7204,skyway,greens_log,BigMacSuperDeal,RED,30,,,,,,,,95,20
kb7204,skyway,hp_log,BigMacSuperDeal,RED,30,,,,,,,,95,0
kb7204,skyway,greens_log,Wrecktum,RED,30,,,,,,,,95,18
kb7204,skyway,hp_log,Wrecktum,RED,30,,,,,,,,95,727.0
kb7204,skyway,score_log,,BLU,30,,0,,,,,,95,
kb7204,skyway,score_log,,RED,30,,1,,,,,,95,
kb7204,skyway,log,Relinquished,BLU,30.397,,,blazing bolt,Novatix,RED,0,19684,95
kb7204,skyway,log,Cruel Existence,RED,30.397,1503.0,,green,,,0,19715,96
kb7204,skyway,log,Ravenfrost,BLU,30.505,1606.0,,mystic/flight,,,0,19827,97
kb7204,skyway,log,Novatix,RED,30.505,,,absorb pain,Cruel Existence,RED,0,19832,98
kb7204,skyway,log,Cruel Existence,RED,31.641,1834.0,,green,,,0,20640,99
kb7204,skyway,log,Kencian X,RED,32.298,,,mystic/flight,,,0,21113,100
kb7204,skyway,log,Python Blue,BLU,32.608,,,mystic/flight,,,0,21324,101
kb7204,skyway,log,SoIstice,RED,32.846,,,blaze,Razor Ice,BLU,0,21531,102
kb7204,skyway,log,Novatix,RED,32.988,,,jaunt,!pos,,0,21628,103
kb7204,skyway,log,Los Bandidos,BLU,33.294,,,blazing bolt,Cruel Existence,RED,0,21868,104
kb7204,skyway,log,Razor Ice,BLU,33.668,,,,,,1,22123,105
kb7204,skyway,log,Cruel Existence,RED,33.668,,,blaze,Razor Ice,BLU,0,22123,106
kb7204,skyway,log,BigMacSuperDeal,RED,33.942,,,enervating field,Razor Ice,BLU,0,22313,107
kb7204,skyway,log,JC Pose,BLU,33.942,,,raptor pack,,,0,22323,108
kb7204,skyway,log,SoIstice,RED,34.084,,,dominate,Razor Ice,BLU,0,22413,109
kb7204,skyway,log,Novatix,RED,34.394,,,raptor pack,,BLU,0,22607,110
kb7204,skyway,log,BigMacSuperDeal,RED,34.475,,,dehydrate,Razor Ice,BLU,0,22694,111
kb7204,skyway,log,Ravenfrost,BLU,34.503,,,mystic/flight,,,0,22706,112
kb7204,skyway,log,Kencian X,RED,34.503,,,mystic/flight,,,0,22711,113
kb7204,skyway,log,Relinquished,BLU,34.394,,,strangler,Novatix,RED,0,22586,110
kb7204,skyway,log,Cruel Existence,RED,34.91,,,blazing bolt,Razor Ice,BLU,0,22995,114
kb7204,skyway,log,Wrecktum,RED,34.91,1606.0,,jaunt,!pos,,0,23002,115
kb7204,skyway,log,Razor Ice,BLU,35.745,828.0,,green,,RED,0,23580,116
kb7204,skyway,log,Wrecktum,RED,36.153,,,blaze,Razor Ice,BLU,0,23882,117
kb7204,skyway,log,John BIaze,RED,36.296,,,blaze,Ravenfrost,BLU,0,23979,118
kb7204,skyway,log,Razor Ice,BLU,36.43,556.0,,green,,,0,24044,119
kb7204,skyway,log,Razor Ice,BLU,36.849,488.0,,phase shift,,,0,24339,120
kb7204,skyway,log,Cruel Existence,RED,36.849,,,jaunt,!pos,,0,24351,121
kb7204,skyway,log,Kencian X,RED,36.849,,,mystic/flight,,,0,24357,122
kb7204,skyway,log,Ravenfrost,BLU,36.993,,,soothe,Razor Ice,BLU,0,24446,123
kb7204,skyway,log,Pot,RED,37.401,1606.0,,dominate,Razor Ice,BLU,0,24691,124
kb7204,skyway,log,Python Blue,BLU,37.401,,,heal other,Razor Ice,BLU,0,24713,125
kb7204,skyway,log,Wrecktum,RED,37.401,,,dominate,Razor Ice,BLU,0,24725,126
kb7204,skyway,log,BigMacSuperDeal,RED,37.44,,,ssj,Razor Ice,BLU,0,24772,127
kb7204,skyway,log,Razor Ice,BLU,37.574,674.0,,green,,RED,0,24868,128
kb7204,skyway,log,Novatix,RED,37.708,,,raptor pack,,,0,24959,129
kb7204,skyway,log,Razor Ice,BLU,37.956,0.0,1,,,,0,25175,130
kb7204,skyway,log,Cruel Existence,RED,38.09,,,raptor pack,,,0,25298,131
kb7204,skyway,log,Los Bandidos,BLU,38.231,,,toxins,,,0,25409,132
kb7204,skyway,log,Cruel Existence,RED,38.674,,,raptor pack,,,0,25719,133
kb7204,skyway,log,Kencian X,RED,39.509,,,mystic/flight,,,0,26238,134
kb7204,skyway,log,Ravenfrost,BLU,40.157,,,mystic/flight,,,0,26637,135
kb7204,skyway,log,JC Pose,BLU,41.128,,,bib,John BIaze,RED,0,27217,136
kb7204,skyway,log,Relinquished,BLU,42.096,,,blaze,John BIaze,RED,0,27862,137
kb7204,skyway,log,John BIaze,RED,42.096,,,,,,1,27862,138
kb7204,skyway,log,Cruel Existence,RED,42.096,,,raptor pack,,,0,27871,139
kb7204,skyway,log,JC Pose,BLU,42.513,,,dominate,John BIaze,RED,0,28134,140
kb7204,skyway,log,Kencian X,RED,42.513,,,mystic/flight,,,0,28140,141
kb7204,skyway,log,John BIaze,RED,42.646,,,jaunt,!pos,,0,28204,142
kb7204,skyway,log,Los Bandidos,BLU,42.646,,,blaze,John BIaze,RED,0,28209,143
kb7204,skyway,log,Deadly Deadly Deadly,BLU,42.954,1839.0,,wild bastion,,,0,28394,144
kb7204,skyway,log,Novatix,RED,43.337,,,absorb pain,John BIaze,RED,0,28629,145
kb7204,skyway,log,John BIaze,RED,43.887,,,jaunt,!pos,,0,28946,146
kb7204,skyway,log,Ravenfrost,BLU,44.741,,,mystic/flight,,,0,29482,147
kb7204,skyway,log,Pot,RED,44.989,,,blaze,JC Pose,BLU,0,29644,148
kb7204,skyway,log,SoIstice,RED,45.43,1602.0,,blaze,!pos,,0,29898,149
kb7204,skyway,log,Python Blue,BLU,45.538,,,mystic/flight,,,0,29978,150
kb7204,skyway,log,JC Pose,BLU,45.814,,,,,,1,30146,151
kb7204,skyway,log,Cruel Existence,RED,45.814,,,blaze,JC Pose,BLU,0,30146,152
kb7204,skyway,log,Novatix,RED,45.948,1606.0,,raptor pack,,,0,30233,153
kb7204,skyway,log,Pot,RED,46.263,,,dominate,JC Pose,BLU,0,30452,154
kb7204,skyway,log,Wrecktum,RED,46.263,1606.0,,blaze,Relinquished,BLU,0,30464,155
kb7204,skyway,log,BigMacSuperDeal,RED,46.638,,,enervating field,JC Pose,BLU,0,30710,156
kb7204,skyway,log,JC Pose,BLU,46.638,1273.0,,jaunt,!pos,RED,0,30716,157
kb7204,skyway,log,SoIstice,RED,46.638,,,dominate,JC Pose,BLU,0,30728,158
kb7204,skyway,log,Novatix,RED,46.779,,,jaunt,!pos,,0,30841,159
kb7204,skyway,log,Ravenfrost,BLU,47.054,,,share pain,JC Pose,BLU,0,31009,160
kb7204,skyway,log,BigMacSuperDeal,RED,47.171,,,dehydrate,JC Pose,BLU,0,31069,161
kb7204,skyway,log,JC Pose,BLU,47.227,0.0,1,,,RED,0,31132,162
kb7204,skyway,log,Kencian X,RED,47.361,,,mystic/flight,,,0,31225,163
kb7204,skyway,log,Cruel Existence,RED,47.754,1834.0,,ssj,JC Pose,BLU,0,31474,164
kb7204,skyway,log,Relinquished,BLU,48.018,,,toxins,,,0,31627,165
kb7204,skyway,log,Wrecktum,RED,48.463,,,corrosive enzyme,Relinquished,BLU,0,31895,166
kb7204,skyway,log,Pot,RED,48.571,,,blazing bolt,Relinquished,BLU,0,32034,167
